"Country or Area","Year","Area","Sex","Religion","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Anguilla","2001","Total","Female","Roman Catholic","Census - de facto - complete tabulation","Final figure, complete","2003","343",""
"Anguilla","2001","Total","Female","Seventh Day Adventist","Census - de facto - complete tabulation","Final figure, complete","2003","447",""
"Anguilla","2001","Total","Female","Other Religions","Census - de facto - complete tabulation","Final figure, complete","2003","205",""
"Anguilla","2001","Total","Female","No Religion","Census - de facto - complete tabulation","Final figure, complete","2003","160",""
"Anguilla","2001","Total","Female","Not Specified","Census - de facto - complete tabulation","Final figure, complete","2003","12",""
"Antigua and Barbuda","2001","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2009","76886",""
"Antigua and Barbuda","2001","Total","Both Sexes","Anglican","Census - de facto - complete tabulation","Final figure, complete","2009","19767",""
"Antigua and Barbuda","2001","Total","Both Sexes","Baha'i","Census - de facto - complete tabulation","Final figure, complete","2009","51",""
"Antigua and Barbuda","2001","Total","Both Sexes","Baptist","Census - de facto - complete tabulation","Final figure, complete","2009","3777",""
"Antigua and Barbuda","2001","Total","Both Sexes","Brethren","Census - de facto - complete tabulation","Final figure, complete","2009","194",""
"Antigua and Barbuda","2001","Total","Both Sexes","Church of God","Census - de facto - complete tabulation","Final figure, complete","2009","3443",""
"Antigua and Barbuda","2001","Total","Both Sexes","Evangelical","Census - de facto - complete tabulation","Final figure, complete","2009","1982",""
"Antigua and Barbuda","2001","Total","Both Sexes","Hindu","Census - de facto - complete tabulation","Final figure, complete","2009","189",""
"Antigua and Barbuda","2001","Total","Both Sexes","Islam ","Census - de facto - complete tabulation","Final figure, complete","2009","228",""
"Antigua and Barbuda","2001","Total","Both Sexes","Jehovah Witness","Census - de facto - complete tabulation","Final figure, complete","2009","1257",""
"Antigua and Barbuda","2001","Total","Both Sexes","Methodist","Census - de facto - complete tabulation","Final figure, complete","2009","6091",""
"Antigua and Barbuda","2001","Total","Both Sexes","Moravian","Census - de facto - complete tabulation","Final figure, complete","2009","8057",""
"Antigua and Barbuda","2001","Total","Both Sexes","Pentecostal","Census - de facto - complete tabulation","Final figure, complete","2009","8118",""
"Antigua and Barbuda","2001","Total","Both Sexes","Presbyterian","Census - de facto - complete tabulation","Final figure, complete","2009","205",""
"Antigua and Barbuda","2001","Total","Both Sexes","Rastafarian","Census - de facto - complete tabulation","Final figure, complete","2009","973",""
"Antigua and Barbuda","2001","Total","Both Sexes","Roman Catholic","Census - de facto - complete tabulation","Final figure, complete","2009","8021",""
"Antigua and Barbuda","2001","Total","Both Sexes","Salvation Army","Census - de facto - complete tabulation","Final figure, complete","2009","444",""
"Antigua and Barbuda","2001","Total","Both Sexes","Seventh Day Adventist","Census - de facto - complete tabulation","Final figure, complete","2009","9436",""
"Antigua and Barbuda","2001","Total","Both Sexes","Spiritualist","Census - de facto - complete tabulation","Final figure, complete","2009","66",""
"Antigua and Barbuda","2001","Total","Both Sexes","Other","Census - de facto - complete tabulation","Final figure, complete","2009","116",""
"Antigua and Barbuda","2001","Total","Both Sexes","No Religion","Census - de facto - complete tabulation","Final figure, complete","2009","3145",""
"Antigua and Barbuda","2001","Total","Both Sexes","Not Declared","Census - de facto - complete tabulation","Final figure, complete","2009","1329",""
"Antigua and Barbuda","2001","Total","Male","Total","Census - de facto - complete tabulation","Final figure, complete","2009","36109",""
"Antigua and Barbuda","2001","Total","Male","Anglican","Census - de facto - complete tabulation","Final figure, complete","2009","9482",""
"Antigua and Barbuda","2001","Total","Male","Baha'i","Census - de facto - complete tabulation","Final figure, complete","2009","20",""
"Antigua and Barbuda","2001","Total","Male","Baptist","Census - de facto - complete tabulation","Final figure, complete","2009","1635",""
"Antigua and Barbuda","2001","Total","Male","Brethren","Census - de facto - complete tabulation","Final figure, complete","2009","100",""
"Antigua and Barbuda","2001","Total","Male","Church of God","Census - de facto - complete tabulation","Final figure, complete","2009","1435",""
"Antigua and Barbuda","2001","Total","Male","Evangelical","Census - de facto - complete tabulation","Final figure, complete","2009","849",""
"Antigua and Barbuda","2001","Total","Male","Hindu","Census - de facto - complete tabulation","Final figure, complete","2009","100",""
"Antigua and Barbuda","2001","Total","Male","Islam ","Census - de facto - complete tabulation","Final figure, complete","2009","136",""
"Antigua and Barbuda","2001","Total","Male","Jehovah Witness","Census - de facto - complete tabulation","Final figure, complete","2009","548",""
"Antigua and Barbuda","2001","Total","Male","Methodist","Census - de facto - complete tabulation","Final figure, complete","2009","2822",""
"Antigua and Barbuda","2001","Total","Male","Moravian","Census - de facto - complete tabulation","Final figure, complete","2009","3792",""
"Antigua and Barbuda","2001","Total","Male","Pentecostal","Census - de facto - complete tabulation","Final figure, complete","2009","3455",""
"Antigua and Barbuda","2001","Total","Male","Presbyterian","Census - de facto - complete tabulation","Final figure, complete","2009","102",""
"Antigua and Barbuda","2001","Total","Male","Rastafarian","Census - de facto - complete tabulation","Final figure, complete","2009","764",""
"Antigua and Barbuda","2001","Total","Male","Roman Catholic","Census - de facto - complete tabulation","Final figure, complete","2009","3647",""
"Antigua and Barbuda","2001","Total","Male","Salvation Army","Census - de facto - complete tabulation","Final figure, complete","2009","196",""
"Antigua and Barbuda","2001","Total","Male","Seventh Day Adventist","Census - de facto - complete tabulation","Final figure, complete","2009","4263",""
"Antigua and Barbuda","2001","Total","Male","Spiritualist","Census - de facto - complete tabulation","Final figure, complete","2009","28",""
"Antigua and Barbuda","2001","Total","Male","Other","Census - de facto - complete tabulation","Final figure, complete","2009","57",""
"Antigua and Barbuda","2001","Total","Male","No Religion","Census - de facto - complete tabulation","Final figure, complete","2009","1954",""
"Antigua and Barbuda","2001","Total","Male","Not Declared","Census - de facto - complete tabulation","Final figure, complete","2009","724",""
"Antigua and Barbuda","2001","Total","Female","Total","Census - de facto - complete tabulation","Final figure, complete","2009","40777",""
"Antigua and Barbuda","2001","Total","Female","Anglican","Census - de facto - complete tabulation","Final figure, complete","2009","10285",""
"Antigua and Barbuda","2001","Total","Female","Baha'i","Census - de facto - complete tabulation","Final figure, complete","2009","30",""
"Antigua and Barbuda","2001","Total","Female","Baptist","Census - de facto - complete tabulation","Final figure, complete","2009","2142",""
"Antigua and Barbuda","2001","Total","Female","Brethren","Census - de facto - complete tabulation","Final figure, complete","2009","94",""
"Antigua and Barbuda","2001","Total","Female","Church of God","Census - de facto - complete tabulation","Final figure, complete","2009","2008",""
"Antigua and Barbuda","2001","Total","Female","Evangelical","Census - de facto - complete tabulation","Final figure, complete","2009","1133",""
"Antigua and Barbuda","2001","Total","Female","Hindu","Census - de facto - complete tabulation","Final figure, complete","2009","89",""
"Antigua and Barbuda","2001","Total","Female","Islam ","Census - de facto - complete tabulation","Final figure, complete","2009","91",""
"Antigua and Barbuda","2001","Total","Female","Jehovah Witness","Census - de facto - complete tabulation","Final figure, complete","2009","709",""
"Antigua and Barbuda","2001","Total","Female","Methodist","Census - de facto - complete tabulation","Final figure, complete","2009","3269",""
"Antigua and Barbuda","2001","Total","Female","Moravian","Census - de facto - complete tabulation","Final figure, complete","2009","4264",""
"Antigua and Barbuda","2001","Total","Female","Pentecostal","Census - de facto - complete tabulation","Final figure, complete","2009","4663",""
"Antigua and Barbuda","2001","Total","Female","Presbyterian","Census - de facto - complete tabulation","Final figure, complete","2009","102",""
"Antigua and Barbuda","2001","Total","Female","Rastafarian","Census - de facto - complete tabulation","Final figure, complete","2009","208",""
"Antigua and Barbuda","2001","Total","Female","Roman Catholic","Census - de facto - complete tabulation","Final figure, complete","2009","4374",""
"Antigua and Barbuda","2001","Total","Female","Salvation Army","Census - de facto - complete tabulation","Final figure, complete","2009","248",""
"Antigua and Barbuda","2001","Total","Female","Seventh Day Adventist","Census - de facto - complete tabulation","Final figure, complete","2009","5173",""
"Antigua and Barbuda","2001","Total","Female","Spiritualist","Census - de facto - complete tabulation","Final figure, complete","2009","39",""
"Antigua and Barbuda","2001","Total","Female","Other","Census - de facto - complete tabulation","Final figure, complete","2009","59",""
"Antigua and Barbuda","2001","Total","Female","No Religion","Census - de facto - complete tabulation","Final figure, complete","2009","1191",""
"Antigua and Barbuda","2001","Total","Female","Not Declared","Census - de facto - complete tabulation","Final figure, complete","2009","606",""
"Armenia","2011","Total","Both Sexes","Armenian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","2796519",""
"Armenia","2011","Total","Both Sexes","Armenian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","7532",""
"Armenia","2011","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","13843",""
"Armenia","2011","Total","Both Sexes","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","29280",""
"Armenia","2011","Total","Both Sexes","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","5434",""
"Armenia","2011","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","7888",""
"Armenia","2011","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","34373",""
"Armenia","2011","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","87214",""
"Armenia","2011","Total","Both Sexes","Yeshiva's witness","Census - de jure - complete tabulation","Final figure, complete","2013","8695",""
"Armenia","2011","Total","Both Sexes","Molokai","Census - de jure - complete tabulation","Final figure, complete","2013","2872",""
"Armenia","2011","Total","Both Sexes","Shar-fadinian","Census - de jure - complete tabulation","Final figure, complete","2013","25204",""
"Armenia","2011","Total","Male","Armenian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","1342448",""
"Armenia","2011","Total","Male","Armenian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","2638",""
"Armenia","2011","Total","Male","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","6686",""
"Armenia","2011","Total","Male","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","12297",""
"Armenia","2011","Total","Male","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","2817",""
"Armenia","2011","Total","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2013","3776",""
"Armenia","2011","Total","Male","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","17128",""
"Armenia","2011","Total","Male","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","43433",""
"Armenia","2011","Total","Male","Yeshiva's witness","Census - de jure - complete tabulation","Final figure, complete","2013","2784",""
"Armenia","2011","Total","Male","Molokai","Census - de jure - complete tabulation","Final figure, complete","2013","1450",""
"Armenia","2011","Total","Male","Shar-fadinian","Census - de jure - complete tabulation","Final figure, complete","2013","12595",""
"Armenia","2011","Total","Female","Armenian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","1454071",""
"Armenia","2011","Total","Female","Armenian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","4894",""
"Armenia","2011","Total","Female","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","7157",""
"Armenia","2011","Total","Female","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","16983",""
"Armenia","2011","Total","Female","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","2617",""
"Armenia","2011","Total","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2013","4112",""
"Armenia","2011","Total","Female","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","17245",""
"Armenia","2011","Total","Female","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","43781",""
"Armenia","2011","Total","Female","Yeshiva's witness","Census - de jure - complete tabulation","Final figure, complete","2013","5911",""
"Armenia","2011","Total","Female","Molokai","Census - de jure - complete tabulation","Final figure, complete","2013","1422",""
"Armenia","2011","Total","Female","Shar-fadinian","Census - de jure - complete tabulation","Final figure, complete","2013","12609",""
"Armenia","2011","Urban","Both Sexes","Armenian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","1790794",""
"Armenia","2011","Urban","Both Sexes","Armenian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","5570",""
"Armenia","2011","Urban","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","3058",""
"Armenia","2011","Urban","Both Sexes","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","17758",""
"Armenia","2011","Urban","Both Sexes","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","948",""
"Armenia","2011","Urban","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","4103",""
"Armenia","2011","Urban","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","22159",""
"Armenia","2011","Urban","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","56892",""
"Armenia","2011","Urban","Both Sexes","Yeshiva's witness","Census - de jure - complete tabulation","Final figure, complete","2013","6231",""
"Armenia","2011","Urban","Both Sexes","Molokai","Census - de jure - complete tabulation","Final figure, complete","2013","849",""
"Armenia","2011","Urban","Both Sexes","Shar-fadinian","Census - de jure - complete tabulation","Final figure, complete","2013","2925",""
"Armenia","2011","Urban","Male","Armenian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","839886",""
"Armenia","2011","Urban","Male","Armenian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","1829",""
"Armenia","2011","Urban","Male","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","1302",""
"Armenia","2011","Urban","Male","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","7283",""
"Armenia","2011","Urban","Male","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","524",""
"Armenia","2011","Urban","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2013","1939",""
"Armenia","2011","Urban","Male","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","10910",""
"Armenia","2011","Urban","Male","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","27916",""
"Armenia","2011","Urban","Male","Yeshiva's witness","Census - de jure - complete tabulation","Final figure, complete","2013","1981",""
"Armenia","2011","Urban","Male","Molokai","Census - de jure - complete tabulation","Final figure, complete","2013","425",""
"Armenia","2011","Urban","Male","Shar-fadinian","Census - de jure - complete tabulation","Final figure, complete","2013","1377",""
"Armenia","2011","Urban","Female","Armenian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","950908",""
"Armenia","2011","Urban","Female","Armenian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","3741",""
"Armenia","2011","Urban","Female","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","1756",""
"Armenia","2011","Urban","Female","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","10475",""
"Armenia","2011","Urban","Female","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","424",""
"Armenia","2011","Urban","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2013","2164",""
"Armenia","2011","Urban","Female","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","11249",""
"Armenia","2011","Urban","Female","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","28976",""
"Armenia","2011","Urban","Female","Yeshiva's witness","Census - de jure - complete tabulation","Final figure, complete","2013","4250",""
"Armenia","2011","Urban","Female","Molokai","Census - de jure - complete tabulation","Final figure, complete","2013","424",""
"Armenia","2011","Urban","Female","Shar-fadinian","Census - de jure - complete tabulation","Final figure, complete","2013","1548",""
"Armenia","2011","Rural","Both Sexes","Armenian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","1005725",""
"Armenia","2011","Rural","Both Sexes","Armenian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","1962",""
"Armenia","2011","Rural","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","10785",""
"Armenia","2011","Rural","Both Sexes","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","11522",""
"Armenia","2011","Rural","Both Sexes","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","4486",""
"Armenia","2011","Rural","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","3785",""
"Armenia","2011","Rural","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","12214",""
"Armenia","2011","Rural","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","30322",""
"Armenia","2011","Rural","Both Sexes","Yeshiva's witness","Census - de jure - complete tabulation","Final figure, complete","2013","2464",""
"Armenia","2011","Rural","Both Sexes","Molokai","Census - de jure - complete tabulation","Final figure, complete","2013","2023",""
"Armenia","2011","Rural","Both Sexes","Shar-fadinian","Census - de jure - complete tabulation","Final figure, complete","2013","22279",""
"Armenia","2011","Rural","Male","Armenian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","502562",""
"Armenia","2011","Rural","Male","Armenian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","809",""
"Armenia","2011","Rural","Male","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","5384",""
"Armenia","2011","Rural","Male","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","5014",""
"Armenia","2011","Rural","Male","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","2293",""
"Armenia","2011","Rural","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2013","1837",""
"Armenia","2011","Rural","Male","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","6218",""
"Armenia","2011","Rural","Male","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","15517",""
"Armenia","2011","Rural","Male","Yeshiva's witness","Census - de jure - complete tabulation","Final figure, complete","2013","803",""
"Armenia","2011","Rural","Male","Molokai","Census - de jure - complete tabulation","Final figure, complete","2013","1025",""
"Armenia","2011","Rural","Male","Shar-fadinian","Census - de jure - complete tabulation","Final figure, complete","2013","11218",""
"Armenia","2011","Rural","Female","Armenian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","503163",""
"Armenia","2011","Rural","Female","Armenian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","1153",""
"Armenia","2011","Rural","Female","Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","5401",""
"Armenia","2011","Rural","Female","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2013","6508",""
"Armenia","2011","Rural","Female","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","2193",""
"Armenia","2011","Rural","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2013","1948",""
"Armenia","2011","Rural","Female","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","5996",""
"Armenia","2011","Rural","Female","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","14805",""
"Armenia","2011","Rural","Female","Yeshiva's witness","Census - de jure - complete tabulation","Final figure, complete","2013","1661",""
"Armenia","2011","Rural","Female","Molokai","Census - de jure - complete tabulation","Final figure, complete","2013","998",""
"Armenia","2011","Rural","Female","Shar-fadinian","Census - de jure - complete tabulation","Final figure, complete","2013","11061",""
"Aruba","2010","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2012","101484","1"
"Aruba","2010","Total","Both Sexes","Adventist","Census - de jure - complete tabulation","Final figure, complete","2012","880","1"
"Aruba","2010","Total","Both Sexes","Anglican","Census - de jure - complete tabulation","Final figure, complete","2012","450","1"
"Aruba","2010","Total","Both Sexes","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2012","1703","1"
"Aruba","2010","Total","Both Sexes","Jewish","Census - de jure - complete tabulation","Final figure, complete","2012","354","1"
"Aruba","2010","Total","Both Sexes","Methodist","Census - de jure - complete tabulation","Final figure, complete","2012","932","1"
"Aruba","2010","Total","Both Sexes","Pagan","Census - de jure - complete tabulation","Final figure, complete","2012","5625","1"
"Aruba","2010","Total","Both Sexes","Protestant","Census - de jure - complete tabulation","Final figure, complete","2012","2698","1"
"Aruba","2010","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2012","76464","1"
"Aruba","2010","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2012","5625","1"
"Aruba","2010","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2012","515","1"
"Aruba","2010","Total","Both Sexes","Other Religions and Persuasions","Census - de jure - complete tabulation","Final figure, complete","2012","11862","1"
"Aruba","2010","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2012","48241","1"
"Aruba","2010","Total","Male","Adventist","Census - de jure - complete tabulation","Final figure, complete","2012","349","1"
"Aruba","2010","Total","Male","Anglican","Census - de jure - complete tabulation","Final figure, complete","2012","183","1"
"Aruba","2010","Total","Male","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2012","683","1"
"Aruba","2010","Total","Male","Jewish","Census - de jure - complete tabulation","Final figure, complete","2012","202","1"
"Aruba","2010","Total","Male","Methodist","Census - de jure - complete tabulation","Final figure, complete","2012","420","1"
"Aruba","2010","Total","Male","Pagan","Census - de jure - complete tabulation","Final figure, complete","2012","3104","1"
"Aruba","2010","Total","Male","Protestant","Census - de jure - complete tabulation","Final figure, complete","2012","1230","1"
"Aruba","2010","Total","Male","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2012","36506","1"
